"Cycle_Index","Discharge_Capacity (Ah)"
"3","1.05"
"4","2.082"
"5","1.041"
"6","1.041"
"7","1.041"
"8","1.041"
"9","1.041"
"10","1.041"
"12","1.04"
"13","1.04"
"15","1.04"
"18","1.039"
"19","1.039"
"20","1.039"
"21","1.039"
"22","1.039"
"23","1.039"
"24","1.038"
"25","1.039"
"26","1.038"
"27","1.038"
"29","1.038"
"30","1.038"
"31","1.038"
"32","1.038"
"33","1.037"
"34","1.037"
"35","1.037"
"36","1.037"
"37","1.037"
"38","1.037"
"39","1.037"
"40","1.037"
"41","1.037"
"42","1.036"
"43","1.036"
"44","1.036"
"46","1.036"
"47","1.036"
"48","1.036"
"49","1.036"
"50","1.036"
"51","1.035"
"52","1.035"
"53","1.035"
"55","1.035"
"56","1.035"
"57","1.035"
"58","1.035"
"60","1.035"
"61","1.035"
"62","1.034"
"63","1.034"
"64","1.034"
"65","1.034"
"66","1.034"
"67","1.034"
"68","1.034"
"69","1.034"
"70","1.034"
"71","1.034"
"72","1.034"
"73","1.034"
"74","1.033"
"75","1.033"
"76","1.033"
"77","1.033"
"79","1.033"
"81","1.033"
"82","1.033"
"83","1.033"
"84","1.032"
"85","1.032"
"86","1.033"
"87","1.032"
"88","1.032"
"89","1.032"
"90","1.032"
"91","1.032"
"93","1.032"
"94","1.032"
"95","1.032"
"96","1.032"
"98","1.031"
"99","1.031"
"100","1.031"
"102","1.031"
"103","1.031"
"104","1.031"
"105","1.031"
"106","1.031"
"107","1.031"
"108","1.031"
"109","1.031"
"110","1.03"
"111","1.03"
"112","1.03"
"113","1.03"
"114","1.03"
"116","1.03"
"117","1.03"
"118","1.03"
"119","1.03"
"121","1.03"
"122","1.03"
"123","1.029"
"125","1.029"
"126","1.029"
"128","1.029"
"129","1.029"
"130","1.029"
"131","1.029"
"132","1.028"
"134","1.029"
"135","1.029"
"136","1.028"
"137","1.028"
"138","1.028"
"140","1.028"
"141","1.028"
"143","1.028"
"145","1.028"
"146","1.028"
"147","1.028"
"148","1.028"
"149","1.027"
"150","1.027"
"151","1.027"
"152","1.027"
"154","1.027"
"155","1.027"
"156","1.027"
"157","1.027"
"158","1.027"
"159","1.027"
"160","1.027"
"161","1.026"
"162","1.026"
"164","1.026"
"165","1.026"
"166","1.026"
"167","1.026"
"168","1.026"
"169","1.026"
"170","1.026"
"172","1.026"
"173","1.026"
"174","1.025"
"175","1.025"
"176","1.025"
"177","1.025"
"178","1.025"
"179","1.025"
"180","1.025"
"181","1.025"
"183","1.025"
"184","1.025"
"185","1.025"
"186","1.025"
"187","1.025"
"188","1.025"
"190","1.025"
"191","1.024"
"192","1.024"
"193","1.024"
"194","1.024"
"195","1.024"
"197","1.024"
"198","1.024"
"199","1.024"
"200","1.024"
"201","1.024"
"202","1.024"
"203","1.024"
"205","1.024"
"206","1.023"
"207","0"
"209","1.039"
"210","1.041"
"211","1.042"
"212","2.063"
"213","1.032"
"214","1.032"
"215","1.032"
"216","1.031"
"218","1.031"
"219","1.031"
"220","1.031"
"221","1.031"
"222","1.03"
"223","1.03"
"225","1.03"
"226","1.03"
"227","1.03"
"228","1.029"
"229","1.029"
"230","1.029"
"231","1.029"
"232","1.029"
"233","1.029"
"234","1.028"
"235","1.028"
"236","1.028"
"237","1.028"
"238","1.028"
"239","1.028"
"241","1.027"
"243","1.027"
"245","1.027"
"246","1.027"
"247","1.027"
"248","1.027"
"249","1.026"
